id|sentence
CNXP-opiniao-20250712-a1983d80-0|O presidente Luiz Inácio Lula da Silva (PT) minimizou nesta sexta-feira (11) a responsabilidade do governo sobre a alta no preço do gás de cozinha nos últimos meses.
CNXP-opiniao-20250712-a1983d80-1|Em nova fala sobre o assunto, ele criticou a diferença entre o valor praticado pela Petrobras e o preço final cobrado das famílias brasileiras pelas distribuidoras.
CNXP-opiniao-20250712-a1983d80-2|Durante cerimônia no Espírito Santo, Lula afirmou que ainda não recebeu uma justificativa convincente sobre o encarecimento do produto ao longo da cadeia de distribuição.
CNXP-opiniao-20250712-a1983d80-3|“Eu não me conformo que o gás de cozinha sai da Petrobras a R$ 37 e chega a R$ 140 nas casas dos consumidores.
CNXP-opiniao-20250712-a1983d80-4|Alguém tem que me explicar”, disse o presidente em evento em Linhares (ES), durante o lançamento dos pagamentos do Programa de Transferência de Renda (PTR) destinado a pescadores e agricultores familiares afetados pelo rompimento da barragem de Fundão, em Mariana (MG).
CNXP-opiniao-20250712-a1983d80-5|De acordo com dados da Petrobras, o preço médio do gás liquefeito de petróleo (GLP) nas refinarias está atualmente em R$ 34,70, representando cerca de 33,4% do valor final.
CNXP-opiniao-20250712-a1983d80-6|Já o preço médio do botijão ao consumidor gira em torno de R$ 108,31.
CNXP-opiniao-20250712-a1983d80-7|A diferença, segundo especialistas, decorre de custos logísticos, margens de lucro das distribuidoras e revendedores, além de tributos estaduais e federais.
CNXP-opiniao-20250712-a1983d80-8|Sem detalhar a fonte dos recursos, Lula voltou a fazer promessas em meio ao calendário eleitoral.
CNXP-opiniao-20250712-a1983d80-9|Reiterou que pretende ampliar o acesso gratuito ao gás de cozinha para mais de 17 milhões de pessoas em situação de vulnerabilidade.
CNXP-opiniao-20250712-a1983d80-10|“Nós vamos garantir o gás de graça para esse povo ter como cozinhar”, afirmou.
CNXP-opiniao-20250712-a1983d80-11|O governo federal já mantém o programa Auxílio Gás dos Brasileiros, que cobre 100% do valor médio do botijão para famílias inscritas no Cadastro Único (CadÚnico) e com renda familiar per capita de até meio salário mínimo.
CNXP-opiniao-20250712-a1983d80-12|O presidente, no entanto, sinalizou que pretende ampliar a abrangência da política.
CNXP-opiniao-20250607-61b5a608-0|Hoje eu vou te ensinar como ser o novo Nikolas Ferreira.
CNXP-opiniao-20250607-61b5a608-1|O segredo está aí, escancarado, mas você não viu porque estava ocupado demais se comparando com o engajamento alheio ou reclamando do algoritmo.
CNXP-opiniao-20250607-61b5a608-2|E, pra começar, eu preciso te contar sobre um dos momentos mais fascinantes do comportamento humano moderno: o instante exato em que um avião aterrissa.
CNXP-opiniao-20250607-61b5a608-3|Ele pousa, freia, para.
CNXP-opiniao-20250607-61b5a608-4|E, imediatamente, um bando de gente levanta.
CNXP-opiniao-20250607-61b5a608-5|Mesmo sabendo que a porta não vai abrir antes dos próximos dez minutos.
CNXP-opiniao-20250607-61b5a608-6|É um fenômeno.
CNXP-opiniao-20250607-61b5a608-7|Um ritual coletivo de desconforto voluntário.
CNXP-opiniao-20250607-61b5a608-8|Ninguém sabe por que levanta, mas todos levantam.
CNXP-opiniao-20250607-61b5a608-9|E ficam ali.
CNXP-opiniao-20250607-61b5a608-10|Em pé, suando, esmagados no corredor.
CNXP-opiniao-20250607-61b5a608-11|Esperando algo que já sabem que vai demorar.
CNXP-opiniao-20250607-61b5a608-12|Mas o que importa não é a lógica — é o reflexo.
